model,model_size,noise_type,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
whisper,tiny,clean,300,0.49477465708687135,0.24400030866579211,0.3148269105160026,0.14837153196622438,0.3011889035667107,0.01950354609929078
whisper,tiny,music,394,0.643639017270737,0.367783239967989,0.44441741668693746,0.29219701162147205,0.39522417153996103,0.030707610146862484
whisper,tiny,noise,556,0.6125967628430683,0.3406757823864345,0.428219563687544,0.2543307086614173,0.38635560268646163,0.02111324376199616
whisper,tiny,speech,250,1.4949041989400733,1.207178290049606,1.339991846718304,2.539906103286385,0.5676595744680851,0.05806451612903226
whisper,base,clean,300,0.3726322664924886,0.18280731537927308,0.23318092749836708,0.09984947315604616,0.24438573315719947,0.015957446808510637
whisper,base,music,394,0.4636341522743858,0.24574139705041728,0.3045487715884213,0.15733113673805602,0.3060428849902534,0.025367156208277702
whisper,base,noise,556,0.45654468684025334,0.2400565230040314,0.2867698803659395,0.1404833836858006,0.3170731707317073,0.015355086372360844
whisper,base,speech,250,0.7847533632286996,0.5729987355315631,0.6494088870770485,0.6592409240924092,0.4204255319148936,0.04516129032258064
whisper,small,clean,300,0.28118876551273675,0.15819121845821438,0.197583278902678,0.12614107883817427,0.1499339498018494,0.01773049645390071
whisper,small,music,394,0.27535879348090486,0.141076940665371,0.1717343711992216,0.07112561174551386,0.1861598440545809,0.022696929238985315
whisper,small,noise,556,0.30154820548909217,0.16433232201487885,0.2077762139338494,0.10457516339869281,0.1792152704135737,0.013435700575815739
whisper,small,speech,250,0.5087647778230738,0.34889602178776385,0.3917651854871586,0.30458715596330277,0.27404255319148935,0.015053763440860216
phowhisper,tiny,clean,300,0.0999346832135859,0.04244154641561849,0.06335728282168518,0.018154872174879585,0.05680317040951123,0.0035460992907801418
phowhisper,tiny,music,394,0.17246412065190952,0.08831599405510461,0.11849148418491484,0.028224582701062217,0.11403508771929824,0.012016021361815754
phowhisper,tiny,noise,556,0.15182969739619986,0.0726486845933253,0.09500351864883885,0.02452548517807635,0.09932838458819371,0.003838771593090211
phowhisper,tiny,speech,250,0.37668161434977576,0.24803034724248613,0.34080717488789236,0.22956521739130434,0.18723404255319148,0.004301075268817204
phowhisper,base,clean,300,0.08066623122142391,0.0365768963654603,0.05747877204441541,0.014593214155417731,0.03830911492734478,0.005319148936170213
phowhisper,base,music,394,0.12794940403794697,0.0651080370412713,0.08951593286305035,0.022298456260720412,0.07797270955165692,0.009345794392523364
phowhisper,base,noise,556,0.11400422237860662,0.05727110261418893,0.07688247712878254,0.01968423210990363,0.07069635913750442,0.0047984644913627635
phowhisper,base,speech,250,0.26049735018344883,0.16914697013909152,0.21932327761924175,0.10947712418300654,0.14127659574468085,0.0064516129032258064
phowhisper,small,clean,300,0.06335728282168518,0.02832008642642179,0.05421293272370999,0.013928571428571429,0.029722589167767502,0.005319148936170213
phowhisper,small,music,394,0.08756993432254925,0.04350062878701269,0.06713694964728777,0.01775471182736957,0.05116959064327485,0.010680907877169559
phowhisper,small,noise,556,0.07653061224489796,0.03698931881467936,0.05858550316678395,0.013144987247400432,0.04524566984800283,0.005758157389635317
phowhisper,small,speech,250,0.13942111699959234,0.07402003696138508,0.08560945780676722,0.03224276908487435,0.07829787234042553,0.002150537634408602
