metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,nh,2,254,0.007874015748
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,t,6,254,0.023622047244
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,c,3,254,0.011811023622
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,ch,229,254,0.901574803150
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,m,0,254,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,p,3,254,0.011811023622
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,none,7,946,0.007399577167
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,n,7,946,0.007399577167
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,ng,3,946,0.003171247357
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,nh,1,946,0.001057082452
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,t,7,946,0.007399577167
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,c,0,946,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,ch,0,946,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,m,920,946,0.972515856237
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,m,p,1,946,0.001057082452
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,none,16,510,0.031372549020
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,n,3,510,0.005882352941
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,ng,1,510,0.001960784314
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,nh,0,510,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,t,8,510,0.015686274510
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,c,7,510,0.013725490196
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,ch,3,510,0.005882352941
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,m,0,510,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,p,p,472,510,0.925490196078
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,none,0,409,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,n,123,409,0.300733496333
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,ng,35,409,0.085574572127
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,none,nh,19,409,0.046454767726
