metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,nh,nh,313,358,0.874301675978
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,nh,t,0,358,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,nh,c,1,358,0.002793296089
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,nh,ch,0,358,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,nh,m,3,358,0.008379888268
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,nh,p,0,358,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,none,24,560,0.042857142857
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,n,8,560,0.014285714286
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,ng,2,560,0.003571428571
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,nh,2,560,0.003571428571
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,t,468,560,0.835714285714
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,c,43,560,0.076785714286
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,ch,6,560,0.010714285714
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,m,0,560,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,t,p,7,560,0.012500000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,none,17,560,0.030357142857
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,n,5,560,0.008928571429
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,ng,9,560,0.016071428571
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,nh,0,560,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,t,24,560,0.042857142857
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,c,494,560,0.882142857143
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,ch,5,560,0.008928571429
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,m,1,560,0.001785714286
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,c,p,5,560,0.008928571429
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,none,5,94,0.053191489362
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,n,1,94,0.010638297872
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,ng,0,94,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,nh,0,94,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,t,5,94,0.053191489362
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,c,5,94,0.053191489362
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,ch,75,94,0.797872340426
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,m,1,94,0.010638297872
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,ch,p,2,94,0.021276595745
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,none,13,432,0.030092592593
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,n,11,432,0.025462962963
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,ng,7,432,0.016203703704
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,nh,4,432,0.009259259259
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,t,0,432,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,c,3,432,0.006944444444
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,ch,0,432,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,m,389,432,0.900462962963
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,m,p,5,432,0.011574074074
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,none,7,170,0.041176470588
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,n,3,170,0.017647058824
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,ng,2,170,0.011764705882
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,nh,1,170,0.005882352941
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,t,5,170,0.029411764706
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,c,8,170,0.047058823529
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,ch,0,170,0.000000000000
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,m,2,170,0.011764705882
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,scope,low_snr,p,p,142,170,0.835294117647
