epoch,global_step,learning_rate,asr_loss,tone_loss,total_loss
0,1,1.2048192771084338e-06,1.1670440435409546,0.0,1.1670440435409546
0,10,1.2048192771084338e-05,0.9667133026652865,0.0,0.9667133026652865
0,20,2.4096385542168677e-05,0.9218061685562133,0.0,0.9218061685562133
0,30,3.614457831325301e-05,0.8538227796554565,0.0,0.8538227796554565
0,40,4.8192771084337354e-05,0.7747113168239593,0.0,0.7747113168239593
0,50,6.02409638554217e-05,0.6936157464981079,0.0,0.6936157464981079
0,60,7.228915662650602e-05,0.615953266620636,0.0,0.615953266620636
0,70,8.433734939759037e-05,0.4358380675315857,0.0,0.4358380675315857
0,80,9.638554216867471e-05,0.22231805101037025,0.0,0.22231805101037025
0,90,9.955583756345179e-05,0.15667080990970134,0.0,0.15667080990970134
0,100,9.892131979695431e-05,0.12695666253566742,0.0,0.12695666253566742
0,110,9.828680203045686e-05,0.1476681498810649,0.0,0.1476681498810649
0,120,9.76522842639594e-05,0.135002176836133,0.0,0.135002176836133
0,130,9.701776649746193e-05,0.12005093321204185,0.0,0.12005093321204185
0,140,9.638324873096447e-05,0.15094473734498023,0.0,0.15094473734498023
0,150,9.574873096446702e-05,0.12306132391095162,0.0,0.12306132391095162
0,160,9.511421319796954e-05,0.15437125340104102,0.0,0.15437125340104102
0,170,9.447969543147208e-05,0.14888704530894756,0.0,0.14888704530894756
0,180,9.384517766497463e-05,0.11576967928558587,0.0,0.11576967928558587
0,190,9.321065989847715e-05,0.12640204168856145,0.0,0.12640204168856145
0,200,9.25761421319797e-05,0.10933329872786998,0.0,0.10933329872786998
0,210,9.194162436548224e-05,0.1277339592576027,0.0,0.1277339592576027
0,220,9.130710659898476e-05,0.11120630912482739,0.0,0.11120630912482739
0,230,9.067258883248732e-05,0.10897454023361205,0.0,0.10897454023361205
0,240,9.003807106598985e-05,0.140547963231802,0.0,0.140547963231802
0,250,8.940355329949239e-05,0.1477316368371248,0.0,0.1477316368371248
0,260,8.876903553299493e-05,0.13664986416697503,0.0,0.13664986416697503
0,270,8.813451776649748e-05,0.09043528493493795,0.0,0.09043528493493795
0,280,8.75e-05,0.17652712911367416,0.0,0.17652712911367416
0,290,8.686548223350254e-05,0.1373550433665514,0.0,0.1373550433665514
0,300,8.623096446700509e-05,0.09260069429874421,0.0,0.09260069429874421
0,310,8.559644670050761e-05,0.10716605111956597,0.0,0.10716605111956597
0,320,8.496192893401016e-05,0.13222005274146795,0.0,0.13222005274146795
0,330,8.43274111675127e-05,0.1547021258622408,0.0,0.1547021258622408
0,340,8.369289340101523e-05,0.10851086527109147,0.0,0.10851086527109147
0,350,8.305837563451777e-05,0.10999151058495045,0.0,0.10999151058495045
0,360,8.242385786802031e-05,0.10702540092170239,0.0,0.10702540092170239
0,370,8.178934010152284e-05,0.1174332531169057,0.0,0.1174332531169057
0,380,8.115482233502538e-05,0.11831946671009064,0.0,0.11831946671009064
0,390,8.052030456852793e-05,0.11686224229633808,0.0,0.11686224229633808
0,400,7.988578680203045e-05,0.10647137463092804,0.0,0.10647137463092804
0,410,7.925126903553299e-05,0.08731796480715275,0.0,0.08731796480715275
0,420,7.861675126903554e-05,0.1424269676208496,0.0,0.1424269676208496
0,430,7.798223350253806e-05,0.16924804802984,0.0,0.16924804802984
0,440,7.734771573604062e-05,0.11247402690351009,0.0,0.11247402690351009
0,450,7.671319796954315e-05,0.10279789641499519,0.0,0.10279789641499519
0,460,7.607868020304569e-05,0.11700082235038281,0.0,0.11700082235038281
0,470,7.544416243654823e-05,0.11484281942248345,0.0,0.11484281942248345
