epoch,global_step,learning_rate,asr_loss,tone_loss,total_loss
0,1,1.2048192771084338e-06,1.1670440435409546,1.8869692087173462,1.2613924741744995
0,10,1.2048192771084338e-05,0.966721859243181,1.9030475086636014,1.0618742373254564
0,20,2.4096385542168677e-05,0.9218269288539886,1.8914849996566772,1.0164011776447297
0,30,3.614457831325301e-05,0.8538706004619598,1.8828890085220338,0.9480150520801545
0,40,4.8192771084337354e-05,0.7747088849544526,1.8524269104003905,0.8673302292823791
0,50,6.02409638554217e-05,0.6937033891677856,1.8134063839912415,0.7843736946582794
0,60,7.228915662650602e-05,0.6161072731018067,1.7944398641586303,0.7058292627334595
0,70,8.433734939759037e-05,0.43598671853542326,1.7507392525672913,0.5235236763954163
0,80,9.638554216867471e-05,0.22233664244413376,1.693980073928833,0.30703564584255216
0,90,9.955583756345179e-05,0.15678013283759357,1.647591233253479,0.239159694314003
0,100,9.892131979695431e-05,0.12703766003251077,1.5838400363922118,0.20622966438531876
0,110,9.828680203045686e-05,0.1475472766906023,1.5320920586585998,0.22415188401937486
0,120,9.76522842639594e-05,0.13499082662165166,1.4642327666282653,0.20820246636867523
0,130,9.701776649746193e-05,0.12045334838330746,1.400037682056427,0.19045523405075074
0,140,9.638324873096447e-05,0.151272464543581,1.3687904834747315,0.2197119913995266
0,150,9.574873096446702e-05,0.12314526624977588,1.3039627432823182,0.18834340423345566
0,160,9.511421319796954e-05,0.15452141389250756,1.2512131810188294,0.21708207130432128
0,170,9.447969543147208e-05,0.14937718212604523,1.2272443532943726,0.21073939949274062
0,180,9.384517766497463e-05,0.11646728739142417,1.171276819705963,0.1750311315059662
0,190,9.321065989847715e-05,0.12648030761629342,1.1415514469146728,0.18355788439512252
0,200,9.25761421319797e-05,0.10981375761330128,1.0752679347991942,0.1635771557688713
0,210,9.194162436548224e-05,0.12906799763441085,1.053560310602188,0.18174601644277572
0,220,9.130710659898476e-05,0.11239008530974388,1.0045289874076844,0.1626165322959423
0,230,9.067258883248732e-05,0.11002666801214218,0.9881502628326416,0.1594341829419136
0,240,9.003807106598985e-05,0.14180156216025352,0.9476892650127411,0.18918602913618088
0,250,8.940355329949239e-05,0.14748845100402833,0.9227512955665589,0.1936260163784027
0,260,8.876903553299493e-05,0.13736383393406867,0.915071702003479,0.18311741948127747
0,270,8.813451776649748e-05,0.08999104425311089,0.8669834971427918,0.1333402216434479
0,280,8.75e-05,0.17973402738571168,0.8724563121795654,0.2233568400144577
0,290,8.686548223350254e-05,0.1393919162452221,0.8403311133384704,0.18140847086906434
0,300,8.623096446700509e-05,0.09253382794559002,0.8001344263553619,0.13254055082798005
0,310,8.559644670050761e-05,0.11087550073862076,0.7821818888187408,0.1499845951795578
0,320,8.496192893401016e-05,0.13312353231012822,0.7513090670108795,0.17068898901343346
0,330,8.43274111675127e-05,0.15684510730206966,0.7639042139053345,0.19504032135009766
0,340,8.369289340101523e-05,0.10962692871689797,0.718692547082901,0.14556155875325202
0,350,8.305837563451777e-05,0.11264458559453487,0.7158727526664734,0.1484382227063179
0,360,8.242385786802031e-05,0.10966258756816387,0.6843765497207641,0.14388141706585883
0,370,8.178934010152284e-05,0.11827301997691393,0.6912675857543945,0.1528364010155201
0,380,8.115482233502538e-05,0.11999110905453562,0.6799754500389099,0.15398988053202628
0,390,8.052030456852793e-05,0.11750269159674645,0.6504203140735626,0.15002370737493037
0,400,7.988578680203045e-05,0.10794474892318248,0.6254082322120667,0.13921516090631486
0,410,7.925126903553299e-05,0.08729524984955787,0.6033991873264313,0.11746521070599555
0,420,7.861675126903554e-05,0.14546319469809532,0.6159550249576569,0.17626094520092012
