metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_tone,hyp_tone,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,huyen,nang,14,4472,0.003130590340
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,hoi,ngang,9,2544,0.003537735849
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,hoi,sac,9,2544,0.003537735849
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,hoi,huyen,0,2544,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,hoi,hoi,2516,2544,0.988993710692
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,hoi,nga,7,2544,0.002751572327
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,hoi,nang,3,2544,0.001179245283
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nga,ngang,2,1166,0.001715265866
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nga,sac,0,1166,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nga,huyen,3,1166,0.002572898799
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nga,hoi,15,1166,0.012864493997
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nga,nga,1145,1166,0.981989708405
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nga,nang,1,1166,0.000857632933
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nang,ngang,4,3957,0.001010866818
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nang,sac,2,3957,0.000505433409
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nang,huyen,8,3957,0.002021733637
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nang,hoi,20,3957,0.005054334091
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nang,nga,3,3957,0.000758150114
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,nang,nang,3920,3957,0.990649481931
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,ngang,ngang,5660,5676,0.997181113460
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,ngang,sac,8,5676,0.001409443270
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,ngang,huyen,4,5676,0.000704721635
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,ngang,hoi,0,5676,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,ngang,nga,0,5676,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,ngang,nang,4,5676,0.000704721635
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,sac,ngang,4,5348,0.000747943156
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,sac,sac,5342,5348,0.998878085266
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,sac,huyen,0,5348,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,sac,hoi,0,5348,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,sac,nga,1,5348,0.000186985789
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,sac,nang,1,5348,0.000186985789
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,huyen,ngang,4,4463,0.000896258122
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,huyen,sac,0,4463,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,huyen,huyen,4444,4463,0.995742773919
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,huyen,hoi,0,4463,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,huyen,nga,1,4463,0.000224064531
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,huyen,nang,14,4463,0.003136903428
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,hoi,ngang,9,2537,0.003547497044
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,hoi,sac,8,2537,0.003153330706
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,hoi,huyen,0,2537,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.1,42,scope,overall,hoi,hoi,2510,2537,0.989357508869
