dataset,model,model_size,train_type,lambda,seed,n,wer,cer,ter,der,fcer,swdr,metric_version,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
fleurs,phowhisper,base,ordinary_lora,0,42,857,0.16761691963941752,0.09942243865044036,0.010655209452201933,0.005752801270768042,0.08373115101917103,0.006007646095030038,aligned_v1,4351,25958,11413,114793,248,23275,134,23293,1105,13197,11,1831,0.8966407273287619,0.8973341551737422,0.5083981816780954
fleurs,phowhisper,base,tone_aware_lora,0.05,42,857,0.16850296633022574,0.0994311499830129,0.010185662712738524,0.005154639175257732,0.0849163702414289,0.006553795740032769,aligned_v1,4374,25958,11414,114793,237,23268,120,23280,1122,13213,12,1831,0.8963710609446028,0.8968333461745898,0.5090145619847446
fleurs,phowhisper,base,tone_aware_lora,0.1,42,857,0.16923491794437168,0.09935274798986,0.009763440860215054,0.00520005157075938,0.08482142857142858,0.004915346805024577,aligned_v1,4393,25958,11405,114793,227,23250,121,23269,1121,13216,9,1831,0.8956776330996224,0.8964095847137684,0.5091301332922413
