group,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
all,120,0.11387900355871886,0.05821078431372549,0.027580071174377226,0.007021063189568706,0.060126582278481014,0.0
20.0,30,0.09608540925266904,0.04820261437908497,0.017793594306049824,0.011673151750972763,0.0379746835443038,0.0
10.0,30,0.099644128113879,0.05473856209150327,0.014234875444839857,0.0,0.05063291139240506,0.0
5.0,30,0.1103202846975089,0.059640522875817,0.046263345195729534,0.008130081300813009,0.06962025316455696,0.0
0.0,30,0.1494661921708185,0.07026143790849673,0.03202846975088968,0.008298755186721992,0.08227848101265822,0.0
