group,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
all,120,0.11832740213523131,0.06413398692810457,0.03291814946619217,0.007106598984771574,0.060126582278481014,0.0
20.0,30,0.08896797153024912,0.04820261437908497,0.028469750889679714,0.011811023622047244,0.04430379746835443,0.0
10.0,30,0.09252669039145907,0.05473856209150327,0.028469750889679714,0.003968253968253968,0.05063291139240506,0.0
5.0,30,0.11743772241992882,0.06535947712418301,0.028469750889679714,0.0,0.056962025316455694,0.0
0.0,30,0.17437722419928825,0.08823529411764706,0.046263345195729534,0.012987012987012988,0.08860759493670886,0.0
