group,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
all,120,0.4804270462633452,0.2369281045751634,0.2606761565836299,0.10559006211180125,0.30537974683544306,0.03260869565217391
20.0,30,0.43416370106761565,0.20098039215686275,0.2099644128113879,0.1016949152542373,0.24050632911392406,0.0
10.0,30,0.498220640569395,0.2426470588235294,0.2526690391459075,0.09032258064516129,0.3227848101265823,0.043478260869565216
5.0,30,0.45907473309608543,0.22549019607843138,0.2597864768683274,0.10778443113772455,0.3037974683544304,0.043478260869565216
0.0,30,0.5302491103202847,0.2785947712418301,0.3202846975088968,0.12413793103448276,0.35443037974683544,0.043478260869565216
