group,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
all,30,0.08185053380782918,0.04656862745098039,0.02491103202846975,0.003937007874015748,0.04430379746835443,0.0
clean,30,0.08185053380782918,0.04656862745098039,0.02491103202846975,0.003937007874015748,0.04430379746835443,0.0
