dataset,model,model_size,train_type,lambda,seed,noise_type,n,wer,cer,ter,der,fcer,swdr,metric_version,prediction_sha256,benchmark_manifest_sha256,benchmark_manifest_format,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
vivos,phowhisper,base,tone_aware_lora,0.1,42,speech,421,0.18791312559017942,0.10776077885952712,0.023132664437012264,0.00864472950362521,0.15069146399618502,0.0048543689320388345,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,796,4236,1937,17975,83,3588,31,3586,316,2097,1,206,0.8470254957507082,0.8465533522190746,0.495042492917847
vivos,phowhisper,base,zero_shot,,42,clean,460,0.08798283261802575,0.038612961841308295,0.013638465094775775,0.009184845005740528,0.04598698481561822,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,410,4660,765,19812,59,4326,40,4355,106,2305,1,227,0.9283261802575107,0.9345493562231759,0.4946351931330472
vivos,phowhisper,base,zero_shot,,42,music,582,0.13545407901487944,0.06753058596265293,0.01666020922123208,0.00943577893317928,0.09235453315290934,0.0,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,792,5847,1678,24848,86,5162,49,5193,273,2956,0,286,0.8828459038823329,0.888147768086198,0.5055584060201813
vivos,phowhisper,base,zero_shot,,42,noise,837,0.1299520860114526,0.06380233356211393,0.014966522252855455,0.011335504885993485,0.08135433811427228,0.009615384615384616,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1112,8557,2324,36425,114,7617,87,7675,346,4253,4,416,0.8901484165011102,0.8969264929297651,0.49701998363912586
vivos,phowhisper,base,zero_shot,,42,speech,421,0.27148253068932954,0.17318497913769124,0.025360230547550433,0.008648025367541078,0.19072408897302415,0.0048543689320388345,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1150,4236,3113,17975,88,3470,30,3469,403,2113,1,206,0.8191690273843248,0.818932955618508,0.498819641170916
vivos,phowhisper,small,zero_shot,,42,clean,460,0.0611587982832618,0.026600040379567938,0.01038374717832957,0.0036076662908680946,0.03566768160069596,0.00881057268722467,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,285,4660,527,19812,46,4430,16,4435,82,2299,2,227,0.9506437768240343,0.9517167381974249,0.49334763948497856
vivos,phowhisper,small,zero_shot,,42,music,582,0.09167094236360526,0.044309401159047,0.013713862120088955,0.004813923347528236,0.06317934782608696,0.0034965034965034965,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,536,5847,1101,24848,74,5396,26,5401,186,2944,1,286,0.9228664272276381,0.9237215666153583,0.5035060714896528
vivos,phowhisper,small,zero_shot,,42,noise,837,0.08869931050601847,0.04238846945778998,0.01162349968414403,0.0057956406702784425,0.05889281507656066,0.014423076923076924,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,759,8557,1544,36425,92,7915,46,7937,250,4245,6,416,0.9249737057379923,0.9275447002454131,0.4960850765455183
vivos,phowhisper,small,zero_shot,,42,speech,421,0.12582625118035884,0.0698191933240612,0.015243101182654402,0.005520504731861199,0.09672762271414823,0.009708737864077669,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,533,4236,1255,17975,58,3805,21,3804,201,2078,2,206,0.8982530689329556,0.8980169971671388,0.49055712936732765
vivos,phowhisper,tiny,zero_shot,,42,clean,460,0.1017167381974249,0.04618413082980012,0.015445822607067634,0.005835667600373483,0.06374674761491761,0.004405286343612335,aligned_v1,e167ebf7d5cdea12cc706cf95280b9334c17a6596cd38f0fcd64001413c1795d,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,474,4660,915,19812,66,4273,25,4284,147,2306,1,227,0.9169527896995708,0.91931330472103,0.49484978540772534
