dataset,model,model_size,train_type,lambda,seed,snr,n,wer,cer,ter,der,fcer,swdr,metric_version,prediction_sha256,benchmark_manifest_sha256,benchmark_manifest_format,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
vivos,phowhisper,base,tone_aware_lora,0.05,42,noisy_all,1840,0.14146995708154506,0.07330153442358167,0.018100097181729835,0.009915356711003628,0.09633766512726882,0.004405286343612335,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,2637,18640,5809,79248,298,16464,164,16540,897,9311,4,908,0.8832618025751073,0.8873390557939914,0.49951716738197427
vivos,phowhisper,base,tone_aware_lora,0.05,42,all,2300,0.12991416309012876,0.06636381990712699,0.016774813746695507,0.009519709146574818,0.08684799449130659,0.004405286343612335,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3027,23300,6574,99060,349,20805,199,20904,1009,11618,5,1135,0.8929184549356223,0.897167381974249,0.4986266094420601
vivos,phowhisper,base,tone_aware_lora,0.1,42,clean,460,0.08648068669527897,0.03926912982031092,0.011786457129651028,0.009412304866850322,0.04856895056374675,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,403,4660,778,19812,51,4327,41,4356,112,2306,1,227,0.9285407725321888,0.934763948497854,0.49484978540772534
vivos,phowhisper,base,tone_aware_lora,0.1,42,20,460,0.08669527896995709,0.039925297799313544,0.012465373961218837,0.008492081707596971,0.048505846686877435,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,404,4660,791,19812,54,4332,37,4357,112,2309,1,227,0.9296137339055794,0.9349785407725322,0.49549356223175967
vivos,phowhisper,base,tone_aware_lora,0.1,42,10,460,0.10686695278969957,0.049717343024429636,0.014813073124853044,0.008426966292134831,0.06106539627544391,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,498,4660,985,19812,63,4253,36,4272,141,2309,1,227,0.9126609442060086,0.9167381974248927,0.49549356223175967
vivos,phowhisper,base,tone_aware_lora,0.1,42,5,460,0.13283261802575108,0.0667272360185746,0.017835623041696794,0.010059880239520959,0.08448275862068966,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,619,4660,1322,19812,74,4149,42,4175,196,2320,1,227,0.890343347639485,0.8959227467811158,0.4978540772532189
vivos,phowhisper,base,tone_aware_lora,0.1,42,0,460,0.24356223175965666,0.13804764789016757,0.029157667386609073,0.013717052178590641,0.19326315789473683,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1135,4660,2735,19812,108,3704,51,3718,459,2375,1,227,0.7948497854077253,0.7978540772532189,0.509656652360515
vivos,phowhisper,base,tone_aware_lora,0.1,42,noisy_all,1840,0.1424892703862661,0.07360438118312133,0.018189560773816765,0.010047209780898196,0.09749812090626006,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,2656,18640,5833,79248,299,16438,166,16522,908,9313,4,908,0.8818669527896996,0.88637339055794,0.4996244635193133
vivos,phowhisper,base,tone_aware_lora,0.1,42,all,2300,0.13128755364806868,0.06673733091055925,0.01685528533590176,0.009914742791455121,0.08778724502969275,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3059,23300,6611,99060,350,20765,207,20878,1020,11619,5,1135,0.8912017167381975,0.8960515021459228,0.4986695278969957
vivos,phowhisper,base,zero_shot,,42,clean,460,0.08798283261802575,0.038612961841308295,0.013638465094775775,0.009184845005740528,0.04598698481561822,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,410,4660,765,19812,59,4326,40,4355,106,2305,1,227,0.9283261802575107,0.9345493562231759,0.4946351931330472
