dataset,model,model_size,train_type,lambda,seed,n,wer,cer,ter,der,fcer,swdr,metric_version
fleurs,phowhisper,base,ordinary_lora,0,42,857,0.1663841590261191,0.09853388272804091,0.011219533164252246,0.005372646780710049,0.0838255338482508,0.004915346805024577,aligned_v1
fleurs,phowhisper,base,tone_aware_lora,0.05,42,857,0.16923491794437168,0.10006707726080859,0.011661431214768278,0.005295105256360583,0.08588724933787363,0.006553795740032769,aligned_v1
fleurs,phowhisper,base,tone_aware_lora,0.1,42,857,0.17112258263348487,0.10013676792138894,0.010683668633955111,0.005592841163310962,0.08518855065879145,0.004915346805024577,aligned_v1
