epoch,global_step,learning_rate,asr_loss,tone_loss,total_loss
0,1,9.174311926605506e-07,1.033962368965149,0.0,1.033962368965149
0,10,9.174311926605506e-06,0.8879716065194871,0.0,0.8879716065194871
0,20,1.834862385321101e-05,0.9075518727302552,0.0,0.9075518727302552
0,30,2.7522935779816515e-05,0.8677896916866302,0.0,0.8677896916866302
0,40,3.669724770642202e-05,0.8747149229049682,0.0,0.8747149229049682
0,50,4.587155963302753e-05,0.8277072727680206,0.0,0.8277072727680206
0,60,5.504587155963303e-05,0.7069210767745971,0.0,0.7069210767745971
0,70,6.422018348623854e-05,0.5781842440366745,0.0,0.5781842440366745
0,80,7.339449541284404e-05,0.3465245828032494,0.0,0.3465245828032494
0,90,8.256880733944955e-05,0.1436333440244198,0.0,0.1436333440244198
0,100,9.174311926605506e-05,0.12282629348337651,0.0,0.12282629348337651
0,110,9.995187680461983e-05,0.11096593476831913,0.0,0.11096593476831913
0,120,9.94706448508181e-05,0.12964097931981086,0.0,0.12964097931981086
0,130,9.898941289701637e-05,0.12104720361530781,0.0,0.12104720361530781
0,140,9.850818094321463e-05,0.1181921724230051,0.0,0.1181921724230051
0,150,9.80269489894129e-05,0.10843617096543312,0.0,0.10843617096543312
0,160,9.754571703561117e-05,0.09267857186496258,0.0,0.09267857186496258
0,170,9.706448508180944e-05,0.11316117756068707,0.0,0.11316117756068707
0,180,9.65832531280077e-05,0.09688918199390173,0.0,0.09688918199390173
0,190,9.610202117420597e-05,0.10477091111242771,0.0,0.10477091111242771
0,200,9.562078922040424e-05,0.1071189608424902,0.0,0.1071189608424902
0,210,9.51395572666025e-05,0.09963503442704677,0.0,0.09963503442704677
0,220,9.465832531280077e-05,0.06747067384421826,0.0,0.06747067384421826
0,230,9.417709335899904e-05,0.10522579066455365,0.0,0.10522579066455365
0,240,9.369586140519731e-05,0.07519750259816646,0.0,0.07519750259816646
0,250,9.321462945139558e-05,0.09957539197057486,0.0,0.09957539197057486
0,260,9.273339749759385e-05,0.09133053459227085,0.0,0.09133053459227085
0,270,9.225216554379212e-05,0.11006236746907234,0.0,0.11006236746907234
0,280,9.177093358999039e-05,0.09179823622107505,0.0,0.09179823622107505
0,290,9.128970163618866e-05,0.08527402505278588,0.0,0.08527402505278588
0,300,9.080846968238691e-05,0.0963988658040762,0.0,0.0963988658040762
0,310,9.032723772858518e-05,0.09180695861577988,0.0,0.09180695861577988
0,320,8.984600577478345e-05,0.1041545182466507,0.0,0.1041545182466507
0,330,8.936477382098172e-05,0.0784237589687109,0.0,0.0784237589687109
0,340,8.888354186717999e-05,0.1264082234352827,0.0,0.1264082234352827
0,350,8.840230991337826e-05,0.09652812071144581,0.0,0.09652812071144581
0,360,8.792107795957653e-05,0.13477090671658515,0.0,0.13477090671658515
0,370,8.743984600577478e-05,0.0869420625269413,0.0,0.0869420625269413
0,380,8.695861405197305e-05,0.07004915606230497,0.0,0.07004915606230497
0,390,8.647738209817132e-05,0.10135879442095756,0.0,0.10135879442095756
0,400,8.599615014436959e-05,0.08163163661956788,0.0,0.08163163661956788
0,410,8.551491819056786e-05,0.07875312296673656,0.0,0.07875312296673656
0,420,8.503368623676613e-05,0.08700096365064383,0.0,0.08700096365064383
0,430,8.45524542829644e-05,0.08299273326992988,0.0,0.08299273326992988
0,440,8.407122232916266e-05,0.1002275787293911,0.0,0.1002275787293911
0,450,8.358999037536093e-05,0.08800902515649796,0.0,0.08800902515649796
0,460,8.31087584215592e-05,0.07079942412674427,0.0,0.07079942412674427
0,470,8.262752646775747e-05,0.10176966898143291,0.0,0.10176966898143291
0,480,8.214629451395574e-05,0.07676636762917041,0.0,0.07676636762917041
0,490,8.1665062560154e-05,0.08408759795129299,0.0,0.08408759795129299
0,500,8.118383060635226e-05,0.065272206813097,0.0,0.065272206813097
0,510,8.070259865255053e-05,0.07438878528773785,0.0,0.07438878528773785
0,520,8.02213666987488e-05,0.09422101899981498,0.0,0.09422101899981498
0,530,7.974013474494707e-05,0.07532942295074463,0.0,0.07532942295074463
0,540,7.925890279114534e-05,0.09826231971383095,0.0,0.09826231971383095
0,550,7.87776708373436e-05,0.09534347504377365,0.0,0.09534347504377365
0,560,7.829643888354186e-05,0.0978575075045228,0.0,0.0978575075045228
0,570,7.781520692974013e-05,0.08017391189932824,0.0,0.08017391189932824
0,580,7.73339749759384e-05,0.07318493090569973,0.0,0.07318493090569973
0,590,7.685274302213667e-05,0.09952967502176761,0.0,0.09952967502176761
0,600,7.637151106833494e-05,0.10884424913674592,0.0,0.10884424913674592
0,610,7.589027911453321e-05,0.06966817490756512,0.0,0.06966817490756512
0,620,7.540904716073147e-05,0.09212962687015533,0.0,0.09212962687015533
0,630,7.492781520692973e-05,0.0839127155020833,0.0,0.0839127155020833
0,640,7.444658325312802e-05,0.08414755016565323,0.0,0.08414755016565323
0,650,7.396535129932629e-05,0.10506282411515713,0.0,0.10506282411515713
0,660,7.348411934552456e-05,0.07947218120098114,0.0,0.07947218120098114
0,670,7.300288739172282e-05,0.08954891059547662,0.0,0.08954891059547662
0,680,7.252165543792108e-05,0.06897229608148336,0.0,0.06897229608148336
0,690,7.204042348411935e-05,0.055606371536850926,0.0,0.055606371536850926
0,700,7.155919153031762e-05,0.0853585310280323,0.0,0.0853585310280323
0,710,7.107795957651589e-05,0.09046228229999542,0.0,0.09046228229999542
0,720,7.059672762271416e-05,0.06906025186181068,0.0,0.06906025186181068
1,730,7.011549566891242e-05,0.07168695516884327,0.0,0.07168695516884327
1,740,6.963426371511068e-05,0.07674360945820809,0.0,0.07674360945820809
1,750,6.915303176130895e-05,0.06347341388463974,0.0,0.06347341388463974
1,760,6.867179980750722e-05,0.0813560139387846,0.0,0.0813560139387846
1,770,6.819056785370549e-05,0.08199832737445831,0.0,0.08199832737445831
1,780,6.770933589990376e-05,0.08843580596148967,0.0,0.08843580596148967
1,790,6.722810394610202e-05,0.07094088196754456,0.0,0.07094088196754456
1,800,6.67468719923003e-05,0.08275104574859142,0.0,0.08275104574859142
1,810,6.626564003849855e-05,0.06928038336336613,0.0,0.06928038336336613
1,820,6.578440808469682e-05,0.07577137462794781,0.0,0.07577137462794781
1,830,6.530317613089509e-05,0.08433958124369383,0.0,0.08433958124369383
1,840,6.482194417709337e-05,0.0737089216709137,0.0,0.0737089216709137
1,850,6.434071222329164e-05,0.08080689813941717,0.0,0.08080689813941717
1,860,6.385948026948991e-05,0.11186967212706804,0.0,0.11186967212706804
1,870,6.337824831568816e-05,0.0761959295719862,0.0,0.0761959295719862
1,880,6.289701636188643e-05,0.08466866835951806,0.0,0.08466866835951806
1,890,6.24157844080847e-05,0.08391709327697754,0.0,0.08391709327697754
1,900,6.193455245428297e-05,0.09196836352348328,0.0,0.09196836352348328
1,910,6.145332050048124e-05,0.09103396013379098,0.0,0.09103396013379098
1,920,6.097208854667951e-05,0.08320582006126642,0.0,0.08320582006126642
1,930,6.0490856592877764e-05,0.11145863309502602,0.0,0.11145863309502602
1,940,6.000962463907603e-05,0.09215517900884151,0.0,0.09215517900884151
1,950,5.95283926852743e-05,0.0619913024827838,0.0,0.0619913024827838
1,960,5.904716073147257e-05,0.07784435749053956,0.0,0.07784435749053956
1,970,5.856592877767084e-05,0.08984835408627986,0.0,0.08984835408627986
1,980,5.808469682386911e-05,0.09138344079256058,0.0,0.09138344079256058
1,990,5.760346487006738e-05,0.08603243976831436,0.0,0.08603243976831436
1,1000,5.712223291626564e-05,0.08480560444295407,0.0,0.08480560444295407
1,1010,5.664100096246391e-05,0.09497212246060371,0.0,0.09497212246060371
1,1020,5.615976900866218e-05,0.09724850561469793,0.0,0.09724850561469793
1,1030,5.567853705486045e-05,0.06279647573828698,0.0,0.06279647573828698
1,1040,5.5197305101058716e-05,0.09265388883650302,0.0,0.09265388883650302
1,1050,5.4716073147256985e-05,0.07503317818045616,0.0,0.07503317818045616
1,1060,5.423484119345524e-05,0.09068104177713394,0.0,0.09068104177713394
1,1070,5.375360923965351e-05,0.08544412888586521,0.0,0.08544412888586521
1,1080,5.3272377285851785e-05,0.08110269457101822,0.0,0.08110269457101822
1,1090,5.2791145332050054e-05,0.1077240202575922,0.0,0.1077240202575922
1,1100,5.230991337824832e-05,0.07312223389744758,0.0,0.07312223389744758
1,1110,5.182868142444659e-05,0.06941258423030376,0.0,0.06941258423030376
1,1120,5.134744947064485e-05,0.07870937064290047,0.0,0.07870937064290047
1,1130,5.086621751684312e-05,0.09375617243349552,0.0,0.09375617243349552
1,1140,5.0384985563041386e-05,0.0765702061355114,0.0,0.0765702061355114
1,1150,4.9903753609239655e-05,0.08389025665819645,0.0,0.08389025665819645
1,1160,4.9422521655437924e-05,0.10782213062047959,0.0,0.10782213062047959
1,1170,4.8941289701636186e-05,0.07722056936472654,0.0,0.07722056936472654
1,1180,4.846005774783446e-05,0.0872876338660717,0.0,0.0872876338660717
1,1190,4.797882579403273e-05,0.1291114367544651,0.0,0.1291114367544651
1,1200,4.749759384023099e-05,0.10317970290780068,0.0,0.10317970290780068
1,1210,4.701636188642926e-05,0.08252777494490146,0.0,0.08252777494490146
1,1220,4.653512993262753e-05,0.09236522130668164,0.0,0.09236522130668164
1,1230,4.605389797882579e-05,0.0943776786327362,0.0,0.0943776786327362
1,1240,4.557266602502406e-05,0.07951213419437408,0.0,0.07951213419437408
1,1250,4.509143407122233e-05,0.09256590064615011,0.0,0.09256590064615011
1,1260,4.4610202117420594e-05,0.06887285113334655,0.0,0.06887285113334655
1,1270,4.412897016361886e-05,0.08828707486391067,0.0,0.08828707486391067
1,1280,4.364773820981714e-05,0.06319715641438961,0.0,0.06319715641438961
1,1290,4.31665062560154e-05,0.0829584514722228,0.0,0.0829584514722228
1,1300,4.268527430221367e-05,0.11902392096817493,0.0,0.11902392096817493
1,1310,4.220404234841194e-05,0.07996923699975014,0.0,0.07996923699975014
1,1320,4.172281039461021e-05,0.07349447906017303,0.0,0.07349447906017303
1,1330,4.124157844080847e-05,0.08752837590873241,0.0,0.08752837590873241
1,1340,4.076034648700674e-05,0.08759846016764641,0.0,0.08759846016764641
1,1350,4.027911453320501e-05,0.09917166270315647,0.0,0.09917166270315647
1,1360,3.979788257940327e-05,0.08060216791927814,0.0,0.08060216791927814
1,1370,3.931665062560154e-05,0.0733338411897421,0.0,0.0733338411897421
1,1380,3.8835418671799815e-05,0.07935774847865104,0.0,0.07935774847865104
1,1390,3.835418671799808e-05,0.08968284483999014,0.0,0.08968284483999014
1,1400,3.7872954764196346e-05,0.08981375843286514,0.0,0.08981375843286514
1,1410,3.7391722810394615e-05,0.07498692832887173,0.0,0.07498692832887173
1,1420,3.691049085659288e-05,0.10339622870087624,0.0,0.10339622870087624
1,1430,3.6429258902791146e-05,0.07006188724189996,0.0,0.07006188724189996
1,1440,3.5948026948989415e-05,0.07238329257816076,0.0,0.07238329257816076
1,1450,3.546679499518768e-05,0.06476695165038109,0.0,0.06476695165038109
2,1460,3.4985563041385946e-05,0.060082361474633215,0.0,0.060082361474633215
2,1470,3.4504331087584215e-05,0.07323996853083373,0.0,0.07323996853083373
2,1480,3.4023099133782485e-05,0.10571470186114311,0.0,0.10571470186114311
2,1490,3.3541867179980754e-05,0.1000395692884922,0.0,0.1000395692884922
2,1500,3.306063522617902e-05,0.07082254625856876,0.0,0.07082254625856876
2,1510,3.257940327237729e-05,0.07082104384899139,0.0,0.07082104384899139
2,1520,3.2098171318575554e-05,0.09984382130205631,0.0,0.09984382130205631
2,1530,3.161693936477382e-05,0.07830168642103671,0.0,0.07830168642103671
2,1540,3.113570741097209e-05,0.0653417319059372,0.0,0.0653417319059372
2,1550,3.0654475457170354e-05,0.06920618135482073,0.0,0.06920618135482073
2,1560,3.0173243503368626e-05,0.07994807101786136,0.0,0.07994807101786136
2,1570,2.9692011549566895e-05,0.07145446334034204,0.0,0.07145446334034204
2,1580,2.9210779595765158e-05,0.08799456469714642,0.0,0.08799456469714642
2,1590,2.8729547641963427e-05,0.08173366189002991,0.0,0.08173366189002991
2,1600,2.8248315688161696e-05,0.07401204667985439,0.0,0.07401204667985439
2,1610,2.776708373435996e-05,0.08841930367052556,0.0,0.08841930367052556
2,1620,2.728585178055823e-05,0.0705176865682006,0.0,0.0705176865682006
2,1630,2.68046198267565e-05,0.07236716262996197,0.0,0.07236716262996197
2,1640,2.6323387872954765e-05,0.08292738869786262,0.0,0.08292738869786262
2,1650,2.5842155919153034e-05,0.0930821519345045,0.0,0.0930821519345045
2,1660,2.5360923965351303e-05,0.07609228603541851,0.0,0.07609228603541851
2,1670,2.487969201154957e-05,0.09315196014940738,0.0,0.09315196014940738
2,1680,2.4398460057747834e-05,0.07271705828607082,0.0,0.07271705828607082
2,1690,2.3917228103946103e-05,0.0690193459391594,0.0,0.0690193459391594
2,1700,2.3435996150144372e-05,0.0949380200356245,0.0,0.0949380200356245
2,1710,2.2954764196342638e-05,0.07234354931861162,0.0,0.07234354931861162
